time,appid,rank,last_week_rank,players
2025-09-08T13:11:40.782611,730,1,1,1498141
2025-09-08T13:11:40.782611,570,2,3,840351
2025-09-08T13:11:40.782611,578080,3,2,681274
2025-09-08T13:11:40.782611,431960,4,4,130687
2025-09-08T13:11:40.782611,1030300,5,-1,568120
2025-09-08T13:11:40.782611,553850,6,7,159127
2025-09-08T13:11:40.782611,1172470,7,6,196815
2025-09-08T13:11:40.782611,2694490,8,5,261039
2025-09-08T13:11:40.782611,2767030,9,10,99894
2025-09-08T13:11:40.782611,2507950,10,9,209372
2025-09-08T13:11:40.782611,367520,11,17,95655
2025-09-08T13:11:40.782611,359550,12,13,94483
2025-09-08T13:11:40.782611,236390,13,11,80978
2025-09-08T13:11:40.782611,413150,14,12,117882
2025-09-08T13:11:40.782611,3527290,15,8,56074
2025-09-08T13:11:40.782611,381210,16,14,77912
2025-09-08T13:11:40.782611,275850,17,16,110893
2025-09-08T13:11:40.782611,1203220,18,15,127666
2025-09-08T13:11:40.782611,271590,19,18,98865
2025-09-08T13:11:40.782611,252490,20,24,143875
2025-09-08T13:11:40.782611,1086940,21,26,90551
2025-09-08T13:11:40.782611,1938090,22,21,62663
2025-09-08T13:11:40.782611,3240220,23,22,69157
2025-09-08T13:11:40.782611,2669320,24,19,52512
2025-09-08T13:11:40.782611,440,25,27,68128
2025-09-08T13:11:40.782611,105600,26,25,33530
2025-09-08T13:11:40.782611,227300,27,23,48198
2025-09-08T13:11:40.782611,2357570,28,28,44378
2025-09-08T13:11:40.782611,3241660,29,30,40447
2025-09-08T13:11:40.782611,230410,30,31,59081
2025-09-08T13:11:40.782611,1174180,31,36,57697
2025-09-08T13:11:40.782611,550,32,34,33854
2025-09-08T13:11:40.782611,1517290,33,20,46535
2025-09-08T13:11:40.782611,1091500,34,29,54408
2025-09-08T13:11:40.782611,322170,35,32,35217
2025-09-08T13:11:40.782611,1973530,36,35,37046
2025-09-08T13:11:40.782611,438100,37,37,59062
2025-09-08T13:11:40.782611,1422450,38,33,55216
2025-09-08T13:11:40.782611,394360,39,38,58818
2025-09-08T13:11:40.782611,322330,40,40,48912
2025-09-08T13:11:40.782611,284160,41,42,30133
2025-09-08T13:11:40.782611,1222670,42,44,37234
2025-09-08T13:11:40.782611,3419430,43,47,126595
2025-09-08T13:11:40.782611,2584990,44,41,40239
2025-09-08T13:11:40.782611,3164500,45,57,41914
2025-09-08T13:11:40.782611,1245620,46,43,40480
2025-09-08T13:11:40.782611,4000,47,49,32260
2025-09-08T13:11:40.782611,2622380,48,39,44195
2025-09-08T13:11:40.782611,252950,49,52,25150
2025-09-08T13:11:40.782611,250900,50,45,22864
2025-09-08T13:11:40.782611,2183900,51,107,34186
2025-09-08T13:11:40.782611,1281930,52,48,35217
2025-09-08T13:11:40.782611,289070,53,53,49398
2025-09-08T13:11:40.782611,1366800,54,56,59034
2025-09-08T13:11:40.782611,3224770,55,46,23977
2025-09-08T13:11:40.782611,1364780,56,51,34957
2025-09-08T13:11:40.782611,251570,57,54,48549
2025-09-08T13:11:40.782611,1449850,58,55,15091
2025-09-08T13:11:40.782611,2358720,59,50,34510
2025-09-08T13:11:40.782611,2252570,60,59,74281
2025-09-08T13:11:40.782611,739630,61,58,20927
2025-09-08T13:11:40.782611,1142710,62,65,38887
2025-09-08T13:11:40.782611,221100,63,62,62953
2025-09-08T13:11:40.782611,291550,64,63,14886
2025-09-08T13:11:40.782611,244210,65,67,16340
2025-09-08T13:11:40.782611,1665460,66,64,19001
2025-09-08T13:11:40.782611,2073850,67,68,22595
2025-09-08T13:11:40.782611,294100,68,60,45666
2025-09-08T13:11:40.782611,108600,69,69,30660
2025-09-08T13:11:40.782611,1551360,70,66,17360
2025-09-08T13:11:40.782611,489830,71,72,27544
2025-09-08T13:11:40.782611,3513350,72,70,16152
2025-09-08T13:11:40.782611,646570,73,79,18593
2025-09-08T13:11:40.782611,714010,74,77,6945
2025-09-08T13:11:40.782611,2300320,75,81,42021
2025-09-08T13:11:40.782611,1085660,76,75,28075
2025-09-08T13:11:40.782611,1144200,77,71,14161
2025-09-08T13:11:40.782611,2246340,78,61,27268
2025-09-08T13:11:40.782611,1623730,79,76,36921
2025-09-08T13:11:40.782611,1905180,80,84,24755
2025-09-08T13:11:40.782611,2379780,81,78,12314
2025-09-08T13:11:40.782611,2878980,82,74,21713
2025-09-08T13:11:40.782611,892970,83,82,33214
2025-09-08T13:11:40.782611,1329410,84,73,15275
2025-09-08T13:11:40.782611,629520,85,87,22602
2025-09-08T13:11:40.782611,960090,86,80,11574
2025-09-08T13:11:40.782611,813780,87,85,23745
2025-09-08T13:11:40.782611,261550,88,86,31839
2025-09-08T13:11:40.782611,2642680,89,89,7195
2025-09-08T13:11:40.782611,393380,90,108,19518
2025-09-08T13:11:40.782611,2139460,91,90,30224
2025-09-08T13:11:40.782611,1158310,92,92,26009
2025-09-08T13:11:40.782611,526870,93,88,31481
2025-09-08T13:11:40.782611,990080,94,83,21080
2025-09-08T13:11:40.782611,346110,95,93,29726
2025-09-08T13:11:40.782611,292030,96,91,21883
2025-09-08T13:11:40.782611,3472040,97,-1,32055
2025-09-08T13:11:40.782611,1407200,98,133,20917
2025-09-08T13:11:40.782611,377160,99,97,20488
2025-09-08T13:11:40.782611,594650,100,96,21288
2025-09-08T13:11:54.256536,730,1,1,1498141
2025-09-08T13:11:54.256536,570,2,3,840351
2025-09-08T13:11:54.256536,578080,3,2,681274
2025-09-08T13:11:54.256536,431960,4,4,130687
2025-09-08T13:11:54.256536,1030300,5,-1,568120
2025-09-08T13:11:54.256536,553850,6,7,159127
2025-09-08T13:11:54.256536,1172470,7,6,196815
2025-09-08T13:11:54.256536,2694490,8,5,261039
